     a                  b                  c                   d               e                f
    0.035837         -0.042515         -0.025299          15.518293         19.024391         -12.591464
    0.042147         -0.023074         -0.027856          18.567074         15.97561         -8.567074
    0.053053         0.003416         -0.002363          15.792684         11.310976         -3.567073
    0.086388         0.018944         0.004555          4.72561         5.457317         -1.128049
    0.123798         -0.005353         0.021417          -6.219512         -2.012195         0.853659
    0.127359         0.012124         0.059517          -9.756098         -8.75         3.414634
    0.110871         0.035676         0.09527          -8.414635         -12.317074         5.884147
    0.06897         0.04983         0.119966          -11.768293         -12.347561         8.75
    0.069239         -0.004082         0.092066          -22.621952         -10.518293         8.079268
    0.059688         0.034235         0.077559          -27.103659         -2.865854         8.170732
    -0.019047         0.119771         0.014586          -22.439026         8.079268         6.554878
    -0.067581         0.111441         -0.008253          -16.859756         17.073172         -3.109756
    -0.087659         0.116888         -0.007579          -14.176829         24.725611         -14.29878
    -0.071689         -0.046138         -0.044149          -13.140244         29.115854         -25.42683
    -0.04993         -0.078512         -0.071257          -8.597561         28.292683         -29.237806
    -0.079397         -0.017888         -0.093724          0.548781         25.762196         -29.054878
    -0.063517         -0.068412         -0.099198          6.006098         20.060976         -31.585367
    -0.026009         -0.113909         -0.094397          6.493903         12.012196         -29.573172
    0.001849         -0.13683         -0.069854          5.518293         3.20122         -23.231709
    0.004995         -0.072746         -0.062914          6.554878         -4.603659         -15.97561
    0.011027         -0.069329         -0.056191          5.335366         -11.859756         -11.463415
    0.025228         -0.069331         -0.046906          0.091463         -18.384148         -5.243903
    0.025651         -0.019332         0.04978          -3.871951         -20.213415         1.219512
    0.040247         -0.019567         0.200371          -4.359756         -14.146341         2.591464
    0.018135         0.01169         0.10893          0.853659         -4.390244         3.506098
    0.008649         0.05154         0.03519          2.713415         0.548781         4.29878
    0.036411         0.03049         -0.005637          -3.628049         2.073171         5.121951
    0.044363         0.058962         -0.048064          -8.658537         0.792683         6.95122
    0.049358         -0.003221         -0.022631          -13.47561         -3.109756         8.567074
    0.052963         0.017736         0.018028          -12.987805         -5.70122         9.085366
    0.046277         0.028642         0.041961          -12.5         -6.646342         8.902439
    0.027842         -0.010094         0.036499          -17.652439         -7.713415         10.030488
    -0.011516         0.04212         0.035058          -21.463415         -7.286585         10.304878
    -0.040463         0.012407         -0.000664          -21.189024         -6.189024         6.493903
    -0.06694         0.060707         -0.00307          -15.457317         -3.993902         2.743902
    -0.092029         0.05755         -0.003824          -6.341464         -0.579268         -3.384146
    -0.103115         0.024165         -0.006574          -0.335366         2.530488         -8.871951
    -0.117063         0.065621         -0.016588          0.335366         5.396342         -12.530488
    -0.112595         0.027497         -0.02909          0.853659         7.835366         -17.560976
    -0.0891         0.02063         -0.032257          3.384146         8.902439         -20.518293
    -0.082803         -0.002636         -0.037329          5.54878         10.335366         -22.164635
    -0.08675         -0.023398         -0.040996          5.54878         11.463415         -22.560976
    -0.057682         -0.081414         -0.043344          3.506098         12.926829         -22.713415
    0.0103         -0.075287         -0.049323          3.140244         14.390244         -20.853659
    0.036951         -0.043824         -0.036334          8.993902         16.12805         -18.140244
    0.043623         -0.03252         -0.026723          16.036585         16.585365         -16.189024
    0.047594         -0.000235         0.004012          19.817074         15.640244         -14.207317
    0.088075         -0.006242         0.017663          17.317074         13.109756         -15.243903
    0.138038         -0.055189         0.049677          10.060976         9.512196         -13.993903
    0.163751         -0.104308         0.036812          -1.981707         6.280488         -9.329268
    0.148969         -0.072313         0.020661          -9.237805         3.536585         -2.103659
    0.113512         -0.038905         0.011646          -6.463415         1.920732         3.140244
    0.085145         -0.031124         0.006777          -1.768293         1.280488         5.853659
    0.050929         0.043265         0.001516          -0.030488         -0.213415         10.030488
    0.017501         0.00258         -0.02535          -4.542683         -1.189024         9.847561
    -0.00221         -0.048912         -0.013835          -12.804878         -3.109756         10.731708
    -0.042003         0.015362         0.013346          -18.323172         -2.22561         13.871951
    -0.050985         0.03397         0.010677          -18.658537         -0.396341         10.823171
    -0.0486         0.061746         -0.010208          -10.54878         1.310976         7.164634
    -0.047279         0.043147         -0.02926          -4.207317         1.432927         4.969512
    -0.0388         0.040767         -0.019697          -3.780488         0.426829         3.963415
    -0.050376         0.059762         0.002797          -5.396342         -0.945122         2.439024
    -0.048894         0.042341         -0.009091          -7.591464         -2.317073         -1.859756
    -0.04517         0.06981         -0.020944          -8.018292         -4.573171         -4.573171
    -0.030277         0.048622         -0.010506          -3.963415         -7.22561         -8.597561
    -0.02637         0.035772         -0.003717          1.981707         -9.329268         -12.042684
    -0.007229         -0.029585         0.191753          -1.859756         -8.353659         -14.176829
    0.018241         -0.088903         0.150082          -8.04878         1.25         -14.634147
    -0.007283         0.004464         0.051902          0.091463         9.29878         -13.658537
    0.011947         -0.00639         0.000115          6.52439         14.146341         -16.859756
    -0.003723         0.056216         -0.047174          8.780488         15.884147         -15.823171
    -0.023682         0.045754         -0.068208          8.079268         14.542684         -17.987804
    -0.047656         0.001057         -0.082886          4.02439         10.853659         -19.603659
    -0.056289         -0.014194         -0.02295          2.835366         7.743903         -20.152439
    -0.061047         0.006028         0.021679          5.457317         8.506098         -20.792683
    -0.054306         -0.080334         0.015586          7.957317         11.25         -21.493902
    -0.037586         -0.054306         -0.010383          13.262196         13.231708         -19.603659
    -0.031826         -0.058093         -0.03858          18.658537         14.817074         -17.591463
    -0.027219         0.004892         -0.055669          20.70122         15.152439         -14.268293
    -0.032127         0.050984         -0.045316          18.963415         14.390244         -13.353659
    0.000666         -0.001791         -0.057542          12.591464         11.067074         -14.603659
    0.039595         -0.06862         -0.036659          5.304878         7.195122         -12.347561
    0.0682         -0.054701         0.014228          0.914634         4.72561         -7.77439
    0.069599         -0.0213         0.027984          3.262195         3.567073         -4.176829
    0.079898         -0.106102         0.019457          8.20122         2.957317         -2.256098
    0.076028         -0.034101         -0.001817          12.195122         1.707317         4.481708
    0.054963         0.01647         0.009679          13.20122         0.182927         9.329268
    0.063306         0.032512         0.002079          9.054878         -2.896342         10.853659
    0.05709         0.033041         0.00596          1.829268         -5.97561         13.170732
    0.057391         0.025456         0.016292          -4.481708         -9.146341         14.756098
    0.045913         -0.009518         -0.008842          -5.670732         -11.402439         16.219513
    0.041027         -0.008005         0.010114          -3.262195         -13.414635         19.17683
    0.040439         0.030315         0.049302          -0.823171         -13.353659         20.853659
    0.01907         0.073861         0.057411          -2.012195         -11.829268         20.304878
    0.009787         0.038972         0.039483          -7.347561         -10.27439         17.103659
    0.008025         0.002662         0.031586          -13.445123         -9.329268         15.243903
    0.008178         0.026739         0.020582          -16.341463         -9.054878         15.152439
    0.001659         0.043071         0.017247          -13.871951         -7.652439         12.652439
    0.002109         0.017464         0.010868          -8.628049         -6.615854         9.634147
    -0.007297         0.067682         0.027053          -4.756098         -4.786585         8.079268
    -0.014432         0.047896         0.011486          -2.439024         -2.286585         3.780488
    -0.012327         0.039879         0.004697          -2.439024         -1.768293         0.365854
    -0.026072         0.009442         -0.005031          -3.597561         -1.158537         -1.890244
    -0.046248         0.038609         -0.019455          -3.018293         -0.579268         -5.091464
    -0.061022         0.001199         -0.02279          0.243902         0.731707         -9.329268
    -0.07499         0.0201         -0.008857          2.957317         2.042683         -12.591464
    -0.069757         0.018619         0.011273          3.506098         3.506098         -15.365854
    -0.071821         0.013919         0.001206          4.390244         6.158537         -18.384148
    -0.066637         -0.009959         -0.017004          5.762195         8.292683         -20.914635
    -0.062489         -0.01617         -0.028837          5.091464         9.756098         -22.042683
    -0.057413         -0.023092         -0.051976          5.304878         10.853659         -22.835367
    -0.053157         -0.008708         -0.035331          8.932927         12.865854         -23.841463
    -0.047409         -0.001498         -0.01928          13.780488         15.27439         -25.365854
    -0.042419         -0.024245         -0.018745          15.884147         17.621952         -26.493902
    -0.022021         -0.040685         -0.02066          12.77439         17.957317         -26.280489
    0.015196         -0.074345         -0.018676          6.219512         16.890244         -24.420732
    0.044969         -0.063968         -0.001269          6.371952         17.103659         -21.707317
    0.060194         -0.046096         -0.012929          9.29878         16.189024         -18.262196
    0.077257         -0.06969         -0.024211          9.634147         12.317074         -14.573171
    0.073719         -0.04872         -0.002962          8.628049         7.896342         -8.536586
    0.07753         -0.061633         0.003099          1.006098         2.103659         -2.682927
    0.07179         -0.020595         0.042128          -4.542683         -0.884146         4.085366
    0.041416         0.03743         0.037804          -2.469512         -1.158537         6.646342
    0.02161         0.050843         0.042157          3.597561         -0.182927         5.945122
    0.00967         0.074463         0.02689          6.341464         1.158537         4.969512
    -0.008084         0.086914         0.012918          5         1.341463         3.323171
    -0.017991         0.054297         -0.00158          -0.365854         0.670732         0.548781
    -0.019861         0.010625         -0.013569          -3.719512         0.365854         -1.585366
    -0.016084         -0.015328         -0.015152          -2.439024         0.060976         -2.164634
    -0.015602         -0.02613         -0.000989          0.060976         -0.243902         -1.615854
    -0.016192         -0.01231         0.004873          0.853659         -0.091463         -0.518293
    -0.01647         -0.002035         0.002141          -0.152439         0.182927         0.182927
    -0.013957         0.013606         0.004056          -0.548781         0.457317         0.457317
    -0.003548         0.023189         0.009495          -0.304878         0.548781         0.091463
    0.001654         0.021481         0.011893          0.060976         0.792683         -0.518293
    0.002495         0.016208         0.007366          -0.152439         1.006098         -0.884146
    0.001605         0.014529         -0.006998          -0.97561         0.884146         -1.280488
    0.003237         0.004397         -0.009309          -1.006098         0.182927         -1.829268
    0.000832         -0.001951         0.000756          -0.518293         -0.335366         -2.042683
    -0.00285         -0.011717         0.005683          -1.006098         -0.518293         -1.859756
    -0.000522         -0.019335         0.00064          -1.310976         -0.487805         -1.52439
    -0.00198         -0.018007         0.001879          -0.70122         -0.518293         -0.70122
    -0.004123         -0.007765         0.001113          0.060976         -0.213415         -0.152439
    -0.003103         0.006483         0.005578          0.548781         0.121951         0.152439
    0.003767         0.008312         0.00915          0.091463         0.548781         -0.335366
    0.008678         0.010556         0.000288          -0.762195         0.70122         -0.579268
    0.00577         0.005124         -0.007191          -1.006098         0.579268         -0.762195
    0.001882         -0.003713         -0.006534          -0.304878         0.27439         -0.670732
    -0.000057         -0.006096         -0.001516          0.243902         0.121951         -0.609756
    0.001322         -0.002728         -0.000237          -0.091463         0         -0.548781
    0.00301         -0.004721         -0.001361          0.030488         -0.152439         -0.640244
    0.000455         -0.001824         0.001646          0.396341         -0.426829         -0.365854
    -0.004909         0.006549         0.002293          -0.091463         -0.121951         -0.304878
    -0.000021         0.002504         -0.004025          -0.518293         -0.121951         -0.579268
    -0.000603         0.004152         0.002053          -0.121951         0         -0.518293
    0.002643         0.006837         0.002033          0.060976         0.091463         -0.487805
    0.001724         0.004298         0.002408          -0.365854         0.121951         -0.823171
    0.000988         -0.000663         -0.003933          -0.853659         0.182927         -0.853659
    -0.000967         -0.004242         -0.006271          -0.792683         0.060976         -0.609756
    -0.004485         0.001099         -0.001306          0.091463         -0.091463         -0.426829
    -0.001635         0.001074         0.00208          0.213415         -0.060976         -0.670732
    0.002794         -0.000508         0.004594          -0.396341         0.030488         -0.823171
    0.002626         -0.007633         0.007191          -1.097561         0.213415         -0.914634
    0.003272         -0.000637         0.003213          -1.371951         0.426829         -0.518293
    -0.000312         -0.002854         -0.002507          -0.792683         0.70122         -0.457317
    0.000922         0.007678         -0.003568          -0.152439         0.792683         -0.365854
    -0.003364         0.004971         -0.005589          -0.579268         0.670732         -0.670732
    -0.00191         0.001437         -0.006229          -1.036585         0.304878         -0.792683
    0.001011         -0.000803         -0.000491          -1.219512         0.030488         -1.006098
    0.002372         -0.005525         0.007029          -0.914634         -0.060976         -0.884146
    0.000335         -0.003444         0.004451          -1.006098         0         -0.548781
    -0.001099         0.004081         -0.001712          -1.25         0.060976         -0.457317
    0.000292         0.000921         -0.002737          -1.402439         -0.060976         -0.853659
    0.001796         0.002104         -0.004924          -1.493902         -0.152439         -1.067073
    0.004367         0.006175         0.003092          -1.615854         -0.426829         -1.25
    0.000564         -0.002286         0.001497          -1.189024         -0.27439         -1.52439
    0.00006         -0.01179         0.000221          -0.426829         -0.121951         -1.463415
    -0.001124         -0.013143         -0.004315          -0.304878         -0.091463         -1.158537
    0.00125         -0.008171         0.000259          -0.365854         -0.213415         -0.914634
    0.00139         -0.001849         0.004308          -0.426829         -0.182927         -0.27439
    -0.001427         0.004966         0.005595          0         0.091463         0.060976
    -0.00329         0.012176         -0.001188          0.243902         0.335366         -0.060976
    -0.001265         0.007202         0.000612          -0.304878         0.365854         -0.762195
    0.004066         -0.004395         0.001857          -0.97561         0.304878         -0.914634
    -0.000653         -0.007032         0.001095          -0.945122         0.304878         -0.579268
    -0.000718         -0.005821         -0.001858          -0.609756         0.518293         -0.457317
    0.002355         -0.003875         -0.002073          -0.396341         0.518293         -0.518293
    0.005009         -0.002514         -0.001463          -0.579268         0.365854         -0.335366
    0.003617         0.001504         -0.003514          -0.396341         0.304878         0.152439
    -0.000232         0.006867         -0.002616          -0.213415         0.121951         0.304878
    -0.00292         0.010963         0.000251          -0.487805         0.091463         0.060976
    -0.000383         0.002715         0.001763          0         -0.030488         -0.731707
    0.000085         -0.00232         0.001215          0.243902         -0.213415         -0.731707
    -0.00501         -0.003809         0.00273          0.518293         -0.548781         -0.457317
    -0.002641         -0.003438         0.004918          0.365854         -0.304878         -0.213415
    -0.00309         0.000375         0.001396          0.060976         -0.182927         -0.27439
    0.00163         0.002058         0.00346          0.152439         -0.091463         -0.548781
    0.003648         0.002427         0.002964          0.27439         -0.060976         -0.609756
    0.002723         0.002528         -0.000364          0.70122         -0.091463         -0.243902
    -0.003876         0.005733         -0.004002          0.853659         -0.27439         0.091463
    -0.00232         0.005563         -0.001053          0.609756         -0.304878         -0.213415
    -0.003614         0.000154         -0.003186          0.518293         -0.091463         -0.609756
    -0.000157         -0.00183         -0.000596          0.396341         0.091463         -0.609756
    0.005148         -0.004394         -0.000086          0.70122         0.243902         -0.823171
    0.008025         -0.005273         0.001884          0.640244         0.457317         -0.548781
    0.004857         -0.003632         -0.00318          0.396341         0.457317         -0.243902
    0.002128         0.004516         -0.004888          0.365854         0.213415         -0.091463
    0.003851         0.009667         -0.000785          0.152439         -0.060976         -0.213415
    0.004448         0.009687         0.001325          -0.27439         -0.243902         -0.70122
    0.00141         0.002086         -0.000698          -0.182927         -0.457317         -0.762195
    -0.002583         -0.001261         0.002176          0.152439         -0.365854         -0.518293
    -0.006559         -0.002181         0.004671          0.365854         -0.27439         -0.304878
    -0.003098         -0.000768         0.006471          0.518293         -0.091463         -0.487805
    -0.000721         -0.0012         0.003028          0.030488         0.152439         -0.518293
    -0.001358         -0.004867         -0.004413          -0.457317         0.152439         -0.243902
    -0.001477         0.00138         -0.003726          0.152439         0         -0.030488
    0.001357         0.001495         0.001316          0.640244         -0.213415         0.030488
    0.000695         0.006079         0.000272          0.487805         -0.213415         0.243902
    -0.001202         0.001152         0.004319          0.27439         -0.121951         0.182927
    0.000601         0.003461         0.002088          0.640244         0.152439         0.243902
    -0.0003         0.00062         -0.003017          0.914634         0.335366         0.060976
    -0.001998         0.001473         -0.003781          0.335366         0.487805         -0.213415
    0.001136         -0.001556         -0.003611          -0.731707         0.548781         -0.579268
    0.006573         -0.005737         -0.003279          -0.823171         0.548781         -0.70122
    0.007993         -0.002637         0.003236          -0.518293         0.518293         -0.609756
    0.004246         0.00375         0.006495          -0.670732         0.670732         -0.487805
    0.001443         0.003586         -0.000077          -1.432927         1.006098         -0.823171
    -0.00158         0.001111         -0.008656          -1.737805         1.036585         -1.280488
    -0.000873         0.002061         -0.007901          -1.646342         0.70122         -1.432927
    0.000864         -0.007922         0.003835          -1.341463         0.518293         -1.310976
    -0.002824         -0.007705         0.007951          -0.823171         0.518293         -0.914634
    -0.006166         -0.004992         0.007142          -0.609756         0.518293         -0.640244
    -0.0063         0.003428         0.001808          -0.792683         0.731707         -0.609756
    -0.003673         0.003329         -0.001288          -1.067073         0.670732         -0.457317
    -0.000985         0.002663         0.003657          -0.426829         0.548781         -0.365854
    0.00136         0.005646         0.005465          0.091463         0.335366         -0.152439
    0.00187         0.002368         0.005934          0.030488         0.243902         -0.304878
    0.002082         -0.002402         -0.001893          -0.121951         0.304878         -0.335366
    0.00147         -0.001922         -0.01089          -0.030488         0.243902         -0.152439
    0.000199         0.000611         -0.00461          0.121951         -0.060976         -0.030488
    -0.001012         0.000098         -0.003688          0.365854         -0.030488         0.091463
    0.00251         0.00125         -0.000802          0.304878         0.060976         -0.091463
    0.000446         0.001391         -0.000251          -0.335366         0.091463         -0.121951
    -0.000815         0.000917         -0.003521          -0.670732         0.243902         -0.457317
    0.004231         -0.002977         -0.003598          -0.792683         0.335366         -0.731707
    -0.000912         0.000157         0.002395          -0.304878         0.304878         -0.762195
    0.000442         -0.002608         0.006603          -0.670732         0.27439         -0.914634
    0.00094         -0.002477         0.002744          -1.128049         0.27439         -0.731707
    -0.001983         0.005831         0.000632          -0.762195         0.243902         -0.518293
    -0.003344         0.002125         0.003045          -0.609756         0.304878         -0.670732
    -0.00248         0.000333         0.003803          -0.518293         0.335366         -0.914634
    0.000946         -0.002663         -0.00184          -0.731707         0.335366         -0.823171
    0.002514         -0.004865         -0.00655          -0.304878         0.426829         -0.914634
    0.001816         0.001577         0.002572          -0.213415         0.182927         -0.609756
    0.001258         -0.000106         0.004597          -0.487805         0.243902         -0.518293
    0.001006         -0.00321         0.000748          -0.70122         0.335366         -0.487805
    0.000219         -0.000419         -0.003894          -0.731707         0.182927         -0.396341
    0.00291         0.001227         0.005088          -0.152439         0.030488         -0.426829
    -0.001969         0.001958         0.002508          0.213415         0.243902         -0.121951
    -0.0047         0.004106         -0.001119          -0.030488         0.304878         0.060976
    -0.00337         0.00348         -0.005582          -0.365854         0.304878         -0.243902
    0.000429         0.003175         -0.001146          -0.365854         0.243902         -0.640244
    0.005812         -0.000195         0.001623          -0.304878         0.213415         -0.731707
    0.001915         -0.002304         -0.000264          -0.548781         0.304878         -0.457317
    0.000165         -0.004382         0.001351          -0.457317         0.182927         -0.548781
    -0.002407         -0.003115         -0.003021          -0.396341         0.182927         -0.518293
    -0.003683         -0.003859         0.00813          -0.365854         0.396341         -0.579268
    -0.002165         -0.001916         0.009434          -0.670732         0.914634         -0.640244
    -0.004271         -0.003095         0.013016          -0.884146         1.829268         -0.731707
    -0.010839         -0.011265         0.006702          -0.792683         3.018293         -0.914634
    -0.015117         -0.021317         -0.003623          -1.036585         4.02439         -0.853659
    -0.013851         -0.020374         -0.00993          -2.469512         4.664634         -0.030488
    0.013333         -0.055361         -0.0056          -3.109756         5.060976         1.25
    0.015354         -0.069094         -0.02616          -0.426829         6.52439         4.176829
    -0.022678         -0.068752         -0.074053          2.804878         6.859756         8.47561
    -0.085525         -0.055392         -0.088344          5.27439         5.914634         11.890244
    -0.084045         -0.046853         0.002177          -1.737805         6.097561         14.664635
    -0.050634         -0.075763         0.027718          -17.530489         8.262196         19.29878
    -0.037187         -0.099868         -0.011224          -25.487806         10.426829         26.829269
    -0.047719         -0.04591         -0.00644          -20.670732         12.591464         35.243904
    -0.049503         -0.027744         -0.016676          -16.341463         14.085366         41.280487
    -0.048977         -0.002469         -0.037559          -17.286585         13.536586         47.164635
    -0.037033         0.011502         -0.062469          -26.12805         9.359756         53.048782
    -0.003064         0.011936         -0.05603          -37.042683         2.012195         59.939026
    0.01122         0.025564         -0.024121          -39.298782         -4.878049         66.554878
    0.009758         0.033147         -0.008555          -33.902439         -10.243902         71.097565
    -0.003913         0.1064         -0.019539          -27.713415         -14.72561         73.841469
    -0.007818         0.127894         -0.0211          -26.585367         -20.152439         71.920731
    0.00898         0.101534         -0.014927          -32.103661         -25.182928         68.414635
    0.040973         0.101149         0.00759          -38.445122         -30.121952         66.25
    0.045865         0.069396         0.035173          -40.518295         -32.987804         61.707317
    0.031809         0.02954         0.040639          -38.262196         -34.115856         56.554878
    0.029353         0.025976         0.050284          -32.560978         -33.963417         51.402439
    0.051803         0.033476         0.036712          -27.073172         -33.170731         45.579269
    0.060778         0.039476         0.029565          -22.652439         -33.292683         39.115856
    0.048623         0.011073         0.027949          -19.786587         -34.146343         32.987804
    0.043586         -0.00579         0.038179          -18.384148         -34.512196         28.719513
    0.051861         0.001227         0.029762          -16.12805         -33.597561         24.359756
    0.051254         0.036138         0.027911          -10.304878         -33.048782         18.384148
    0.045691         0.016996         0.023306          -5.518293         -32.5         10.579268
    0.054326         0.010667         0.001652          -0.640244         -31.25         4.359756
    0.046         -0.00006         -0.004342          3.536585         -30.518293         -0.70122
    0.021566         -0.017431         0.006878          5.54878         -29.542685         -4.847561
    0.019206         -0.027226         0.006674          5.030488         -29.390245         -8.445122
    -0.001628         -0.068265         -0.008137          5.54878         -28.932928         -12.530488
    -0.002865         -0.096214         0.063607          17.317074         -25.54878         -11.097561
    -0.046042         -0.169744         0.189167          24.87805         -13.231708         -3.932927
    0.012971         -0.081889         0.168521          4.72561         0.060976         -5.70122
    -0.023217         -0.06766         -0.055417          -11.646341         3.170732         -2.134146
    -0.082636         -0.026198         -0.156053          -7.256098         0.640244         2.987805
    -0.051656         0.037049         -0.126405          4.908537         -3.445122         -0.670732
    -0.026481         0.047022         -0.046632          11.219513         -5.640244         -1.737805
    0.011628         0.02961         0.041796          9.603659         -5.579268         -3.323171
    -0.002221         0.027008         0.020937          0.213415         -3.170732         -1.890244
    -0.012324         0.002075         -0.018993          -6.006098         -0.548781         -1.676829
    -0.009859         0.006152         -0.043905          -7.012195         -0.030488         -2.042683
    -0.013356         -0.000547         -0.036296          -6.676829         -0.792683         -2.134146
    0.004745         -0.008055         -0.023373          -5.27439         -1.280488         -2.743902
    0.002624         -0.008787         -0.014597          -2.560976         0         -1.615854
    0.003466         -0.00078         -0.01949          -1.615854         0.579268         -0.823171
    -0.010899         0.008556         -0.011295          -0.945122         0.731707         0.060976
    -0.003641         0.006845         0.001511          -0.884146         0.579268         -0.243902
    0.002751         0.002351         0.001404          -1.768293         1.006098         -0.487805
    -0.000143         -0.002026         -0.002978          -2.5         1.280488         -0.121951
    -0.001091         -0.001816         -0.005312          -2.317073         1.432927         -0.091463
    -0.004583         -0.002234         -0.012258          -2.347561         1.280488         -0.365854
    0.002779         -0.008428         -0.00258          -1.52439         1.006098         -1.097561
    0.008278         -0.009867         0.003014          -0.823171         1.036585         -1.158537
    0.00545         -0.009261         0.002216          -0.365854         1.52439         -0.27439
    0.00143         0.001576         -0.005844          -0.457317         1.585366         0.365854
    -0.002176         0.008096         -0.005261          -1.25         1.341463         0.152439
    -0.001545         0.000813         -0.000889          -1.768293         1.189024         -0.457317
    0.001107         -0.010873         -0.006375          -1.463415         1.158537         -0.152439
    -0.003802         0.003606         0.002712          0.27439         1.402439         0.640244
    -0.007924         -0.003756         0.004123          0.670732         1.25         0.792683
    -0.006339         0.010667         0.007595          1.341463         1.189024         0.27439
    -0.004095         0.006776         0.005295          0.27439         1.006098         -0.304878
    0.002779         0.005616         -0.002014          -1.189024         0.884146         -0.304878
    -0.006761         -0.000195         0.000147          -1.95122         0.731707         0.121951
    -0.003065         -0.005429         -0.00418          -2.195122         0.426829         -0.335366
    0.002626         -0.010593         -0.003539          -1.859756         0.457317         -0.823171
    0.003663         -0.007693         -0.007519          -0.579268         0.548781         -0.426829
    0.001173         0.002244         -0.003085          0.97561         0.609756         0.121951
    -0.00121         0.003943         0.003586          1.707317         0.457317         0.640244
    -0.003507         0.008623         0.005408          1.25         0.487805         0.579268
    0.000124         0.003774         0.006866          0.152439         0.457317         -0.243902
    0.001662         0.001066         0.002758          -0.762195         0.945122         -0.792683
    -0.00121         -0.002858         -0.005411          -0.884146         1.402439         -0.97561
    0.00079         0.00201         -0.012141          0.243902         1.402439         -0.97561
    -0.00347         0.002389         -0.001119          1.189024         1.006098         -0.792683
    0.005037         -0.001409         0.006527          1.158537         0.731707         -1.006098
    0.000709         -0.001713         0.00112          1.554878         1.158537         -0.457317
    -0.002753         -0.001175         0.004216          1.798781         1.219512         -0.243902
    -0.003374         -0.004846         0.009037          1.615854         0.823171         -0.365854
    -0.003285         0.000029         0.00723          1.554878         0.609756         -0.579268
    0.000106         0.009789         0.003049          1.310976         0.27439         -0.152439
    -0.001478         0.009198         0.001463          0.121951         0.365854         -0.152439
    -0.002159         0.006773         0.002147          -1.402439         0.27439         -0.152439
    0.000031         -0.001027         0.004842          -2.469512         0.091463         -0.609756
    0.00354         -0.011759         -0.006282          -3.079268         0.030488         -1.097561
    0.004785         -0.007259         -0.009909          -2.042683         0.396341         -1.036585
    0.000703         0.001029         -0.012419          -0.213415         0.609756         -0.426829
    0.001344         0.004143         -0.002709          1.006098         0.670732         -0.152439
    -0.004198         0.004487         0.007208          0.762195         0.609756         0
    -0.002382         -0.001294         0.007524          -0.060976         0.548781         -0.396341
    -0.000734         0.002481         0.005238          -0.884146         0.670732         -0.731707
    0.003905         -0.003093         -0.004989          -1.280488         0.762195         -0.823171
    -0.001173         0.002213         -0.011804          -0.091463         0.884146         -0.27439
    -0.000352         0.0047         0.000323          0.97561         0.640244         -0.091463
    -0.002235         0.000244         0.005531          0.609756         0.365854         -0.396341
    -0.003155         -0.00332         0.009113          -0.213415         0.213415         -0.914634
    0.002163         -0.009687         0.005532          -0.792683         0.091463         -1.280488
    0.001926         -0.002477         -0.006707          -0.365854         0.27439         -0.823171
    0.001931         0.006222         -0.006733          0.426829         0.152439         -0.487805
    -0.002947         0.007321         0.000083          0.213415         -0.091463         -0.27439
    -0.001772         0.006052         0.007879          -0.579268         -0.213415         -0.579268
    0.003465         -0.001799         0.002592          -1.737805         -0.091463         -1.036585
    0.000038         -0.007689         -0.007692          -1.859756         0.213415         -0.792683
    0.003937         -0.004589         -0.008693          -0.335366         0.365854         -0.579268
    -0.001343         0.002188         -0.00129          1.158537         0.426829         -0.457317
    -0.000098         0.003509         0.002093          1.402439         0.396341         -0.762195
    0.00168         0.006127         0.011831          0.914634         0.487805         -1.097561
    0.001344         -0.000958         0.002824          -0.213415         0.762195         -1.036585
    0.000294         -0.008774         -0.008483          -0.487805         0.914634         -0.70122
    0.001407         -0.001941         -0.005419          0.457317         0.792683         -0.548781
    -0.004343         -0.001553         0.001329          0.243902         0.091463         -0.762195
    -0.006014         0.007352         0.003211          0.670732         0.060976         -0.518293
    0.003587         0.006858         0.007452          1.280488         0.457317         -0.731707
    -0.001818         0.008025         0.00186          0.243902         0.670732         -0.731707
    -0.000087         0.004467         0.000316          -0.823171         0.731707         -0.97561
    -0.002804         -0.00834         -0.00131          -1.310976         0.670732         -1.52439
    0.003226         -0.009993         0.001296          -0.335366         0.304878         -1.707317
    0.004729         -0.006041         -0.00033          0.640244         0.335366         -1.493902
    0.002416         0.004542         -0.001436          1.25         0.182927         -0.609756
    -0.001778         0.009493         0.00471          1.067073         0.030488         -0.213415
    -0.001618         0.006227         0.010995          -0.304878         -0.182927         -0.518293
    0.00105         0.001662         0.006257          -2.317073         -0.091463         -0.853659
    0.002402         -0.000624         -0.008276          -3.506098         0.121951         -0.731707
    0.001336         -0.005968         -0.014042          -2.77439         0.091463         0
    -0.001275         0.000304         -0.007328          -1.128049         -0.060976         0.060976
    -0.001801         -0.001515         0.001755          -0.457317         -0.182927         -0.182927
    -0.000269         -0.000821         0.006287          -0.670732         -0.152439         -0.731707
    0.004667         -0.001048         0.002881          -1.554878         0.304878         -1.189024
    0.002367         0.000139         -0.009414          -1.737805         0.914634         -0.945122
    0.003456         -0.002428         -0.008703          -1.006098         0.884146         -0.731707
    0.000226         -0.002529         0.000264          0.152439         0.884146         -0.426829
    -0.001382         -0.005148         0.009196          0.731707         0.884146         -0.518293
    -0.003645         0.001741         0.009505          0.609756         0.853659         -0.640244
    -0.001549         0.002955         0.001745          -0.152439         0.792683         -0.731707
    -0.000067         0.002364         0.000419          -0.548781         0.670732         -0.457317
    -0.000639         0.001696         0.001117          -0.945122         0.609756         -0.27439
